date,symbol,score,quality,action_bias,setup_type,weekly_gate,daily_gate,entry_low,entry_high,stop,target_1,target_2,price_at_signal,atr,rs_20d,regime,event_risk,rvol,triggered,trigger_date,trigger_price,fwd_1d_ret,fwd_3d_ret,fwd_5d_ret,outcome_r,outcome_status,hit_target_1,hit_target_2,hit_pivot_r1,hit_pivot_r2,hit_pivot_r3,first_resistance,first_support,max_favorable_excursion_pct,max_adverse_excursion_pct
2026-04-08,NVDA,40,D — daily trend broken,wait,above_zone_wait,True,False,173.36,178.69,165.36,197.34,213.33,182.08,5.33,-2.35,neutral,True,0.86,,,,,,,,,,,,,,,,,
2026-04-08,AVGO,75,B — good,buy,extended_wait,True,True,311.28,323.94,292.29,355.67,360.71,350.63,12.66,2.64,neutral,True,1.21,,,,,,,,,,,,,,,,,
2026-04-08,TSM,80,A — strong,buy,extended_wait,True,True,332.12,346.24,310.94,395.66,438.02,365.9,14.12,3.26,neutral,True,1.21,,,,,,,,,,,,,,,,,
2026-04-08,AAPL,20,F — weekly trend broken,avoid,no_setup,False,False,250.38,256.44,241.29,277.65,295.83,258.9,6.06,-0.96,neutral,True,0.96,,,,,,,,,,,,,,,,,
2026-04-08,MSFT,20,F — weekly trend broken,avoid,no_setup,False,False,368.52,380.27,355.68,411.84,439.92,374.33,8.56,-7.77,neutral,True,0.99,,,,,,,,,,,,,,,,,
2026-04-08,GOOGL,52,C — marginal,wait,extended_wait,True,True,292.32,298.13,278.53,321.24,325.16,317.32,9.19,2.57,neutral,True,1.11,,,,,,,,,,,,,,,,,
2026-04-08,META,20,F — weekly trend broken,avoid,no_setup,False,False,569.08,592.95,535.05,672.96,741.92,612.42,22.69,-6.63,neutral,True,1.78,,,,,,,,,,,,,,,,,
2026-04-08,AMZN,20,F — weekly trend broken,avoid,no_setup,False,False,206.58,212.73,197.36,234.26,252.71,221.25,6.15,3.82,neutral,True,1.12,,,,,,,,,,,,,,,,,
2026-04-08,ANET,80,A — strong,buy,extended_wait,True,True,127.37,130.91,117.14,153.14,171.14,145.07,6.82,4.72,neutral,True,1.87,,,,,,,,,,,,,,,,,
2026-04-08,ASML,67,B — good,lean_buy,extended_wait,True,True,1307.48,1371.71,1211.14,1596.52,1789.21,1421.05,64.23,2.25,neutral,True,1.41,,,,,,,,,,,,,,,,,
2026-04-08,PLTR,20,F — weekly trend broken,avoid,no_setup,False,False,138.34,144.79,133.73,157.22,162.47,140.76,8.07,-7.38,neutral,True,1.57,,,,,,,,,,,,,,,,,
2026-04-08,VRT,80,A — strong,buy,extended_wait,True,True,251.89,268.3,227.27,325.76,375.0,281.03,16.41,4.56,neutral,True,0.5,,,,,,,,,,,,,,,,,
2026-04-08,CEG,20,F — weekly trend broken,avoid,no_setup,False,False,279.66,291.94,256.64,344.12,387.86,284.27,15.35,-5.69,neutral,True,0.76,,,,,,,,,,,,,,,,,
2026-04-08,ETN,80,A — strong,buy,extended_wait,True,True,355.56,369.58,334.53,418.65,460.71,385.58,14.02,8.15,neutral,True,0.7,,,,,,,,,,,,,,,,,
2026-04-08,PWR,90,A — strong,buy,breakout,True,True,547.58,570.62,513.04,651.22,720.31,576.24,23.03,1.3,neutral,True,0.74,,,,,,,,,,,,,,,,,
2026-04-08,CRS,80,A — strong,buy,extended_wait,True,True,380.24,402.78,346.43,481.67,549.29,427.84,22.54,4.6,neutral,True,1.3,,,,,,,,,,,,,,,,,
2026-04-09,NVDA,20,F — weekly trend broken,avoid,no_setup,False,False,173.49,178.61,165.81,196.53,211.89,181.48,5.12,-2.55,neutral,True,0.11,,,,,,,,,,,,,,,,,
2026-04-09,AVGO,80,A — strong,buy,extended_wait,True,True,313.72,325.81,295.59,357.73,360.56,354.91,12.09,4.22,neutral,True,0.13,,,,,,,,,,,,,,,,,
2026-04-09,TSM,80,A — strong,buy,extended_wait,True,True,333.6,347.04,313.46,394.04,434.33,364.99,13.43,7.06,neutral,True,0.14,,,,,,,,,,,,,,,,,
2026-04-09,AAPL,20,F — weekly trend broken,avoid,no_setup,False,False,250.47,256.48,241.44,277.56,295.62,256.23,6.02,-1.46,neutral,True,0.09,,,,,,,,,,,,,,,,,
2026-04-09,MSFT,20,F — weekly trend broken,avoid,no_setup,False,False,368.26,378.44,365.48,389.09,400.9,368.36,8.65,-9.98,neutral,True,0.15,,,,,,,,,,,,,,,,,
2026-04-09,GOOGL,48,D — weak,wait,extended_wait,True,True,291.87,300.99,278.19,332.91,360.27,313.02,9.12,1.48,neutral,True,0.16,,,,,,,,,,,,,,,,,
2026-04-09,META,20,F — weekly trend broken,avoid,no_setup,False,False,572.11,591.5,537.33,670.77,737.49,625.18,23.19,-3.59,neutral,True,0.26,,,,,,,,,,,,,,,,,
2026-04-09,AMZN,75,B — good,buy,extended_wait,True,True,207.5,213.76,198.11,235.67,254.45,225.12,6.26,5.8,neutral,True,0.22,,,,,,,,,,,,,,,,,
2026-04-09,ANET,74,B — good,lean_buy,extended_wait,True,True,126.35,133.1,116.22,156.72,176.97,143.93,6.75,5.74,neutral,True,0.12,,,,,,,,,,,,,,,,,
2026-04-09,ASML,80,A — strong,buy,extended_wait,True,True,1312.01,1373.57,1219.67,1589.03,1773.71,1434.0,61.56,4.46,neutral,True,0.24,,,,,,,,,,,,,,,,,
2026-04-09,PLTR,20,F — weekly trend broken,avoid,no_setup,False,False,128.49,135.19,127.19,141.14,142.36,131.0,8.38,-16.3,neutral,True,0.46,,,,,,,,,,,,,,,,,
